,probability
116,0.0217346782204
117,0.258412015659
118,0.447415387306
119,0.209498892159
120,0.825801589495
121,0.0123158755593
122,0.292616339835
123,0.344482109657
124,0.207954628576
125,0.0784730272471
126,0.0574091639844
127,0.559813988086
128,0.330669670948
129,0.0649248657017
130,0.0513218651617
131,0.356963170571
132,0.0650694606512
133,0.0632593716991
134,0.0537010886374
135,0.507327690539
136,0.429571776849
137,0.0122452046749
138,0.0451607113715
139,0.327920257161
140,0.065521469888
141,0.0276488928402
142,0.130048451906
143,0.0160029936765
144,0.0548030671512
145,0.318847824112
146,0.0213619316812
147,0.199655434367
148,0.158595547843
149,0.105545772856
150,0.332954492025
151,0.191209876334
152,0.293760212836
153,0.0819031666549
154,0.0311486724408
155,0.394012724446
156,0.187116625682
157,0.260095571707
158,0.0594090795237
159,0.853697632551
160,0.839964399943
161,0.087353687914
162,0.192237935997
163,0.016003987689
164,0.0243418604099
165,0.275006196492
166,0.0139791321318
167,0.0441833762258
168,0.0187981964049
169,0.0717251117572
170,0.128329658319
171,0.396237738845
172,0.0474382498177
173,0.16888891657
174,0.205509677395
175,0.145340093287
176,0.0340214332156
177,0.0164307490277
178,0.0201897608675
179,0.0166132274396
180,0.84587713658
181,0.027649306742
182,0.351029733853
183,0.122170978533
184,0.0108118667037
185,0.0459787301826
186,0.0939001730274
187,0.00968574294285
188,0.0419228022685
189,0.00791843974545
190,0.285331277484
191,0.1317437791
192,0.25093157066
193,0.044724474241
194,0.218236501256
195,0.185753749848
196,0.330341155257
197,0.214938903496
198,0.441722560854
199,0.187778614078
200,0.507802164256
201,0.276061536083
202,0.129409173454
203,0.514115428955
204,0.153434356311
205,0.0208901897217
206,0.110565577958
207,0.00265313490076
208,0.10305076013
209,0.0109041175107
210,0.00650698642222
211,0.105896459353
212,0.364908167389
213,0.470162591724
214,0.389240073884
215,0.529499417579
216,0.0082573716615
217,0.281427815652
218,0.33666569315
219,0.0302515056569
220,0.123787535858
221,0.0320295386398
222,0.178329123872
223,0.066792434404
224,0.16043645064
225,0.0372835283166
226,0.0185139532279
227,0.0319531380764
228,0.0135952377179
229,0.0234813595187
230,0.0146319479031
231,0.66187069022
232,0.422574167985
233,0.11714803087
234,0.0561422534422
235,0.411781452244
236,0.940369823623
237,0.127368529669
238,0.0561542280356
239,0.0259630746526
240,0.365679297682
241,0.0746577341289
242,0.0453912404222
243,0.0559374215018
244,0.0509531514173
245,0.0659040438987
246,0.189447332366
247,0.111759979078
248,0.255544780493
249,0.627585757304
250,0.115373175374
251,0.0469978341772
252,0.386956483557
253,0.876109739771
254,0.0939915580605
255,0.145638207061
256,0.416303068756
257,0.0114177749421
258,0.0200707091498
259,0.154718624855
260,0.166793643199
261,0.419850623134
262,0.220131649379
263,0.432832828191
264,0.156412115465
265,0.0104475044061
266,0.109192253528
267,0.376827791709
268,0.02577719201
269,0.0466451512291
270,0.0268339967845
271,0.059923680775
272,0.0702127214622
273,0.0416322808681
274,0.0236309539392
275,0.140756833994
276,0.212661584782
277,0.0106218418801
278,0.0498437337235
279,0.157315320917
280,0.222367748948
281,0.0727328333333
282,0.258014364645
283,0.00886926463249
284,0.161991565688
285,0.0661865895374
286,0.435884827487
287,0.018442061271
288,0.0546397254209
289,0.0580552677168
290,0.17559060184
291,0.0624905484845
292,0.0713199878861
293,0.0163949437455
294,0.0691879267002
295,0.18769100148
296,0.245600457795
297,0.318596277744
298,0.240002205021
299,0.205662083131
300,0.0979229007254
301,0.0219546180154
302,0.951719789587
303,0.0160284349538
304,0.0152682707005
305,0.00971425304302
306,0.0391516857853
307,0.00160361605518
308,0.0718233220154
309,0.0172614395018
310,0.885164848909
311,0.465389205704
312,0.539898785114
313,0.216387018003
314,0.108445576202
315,0.528632146325
316,0.186509912769
317,0.158090613778
318,0.571331325893
319,0.104997651204
320,0.425442110756
321,0.479455055868
322,0.131484213275
323,0.206334909358
324,0.098383438112
325,0.0462885347583
326,0.351469743954
327,0.677657394581
328,0.882232326933
329,0.288213313472
330,0.7127594425
331,0.0341621567872
332,0.714924765454
333,0.313264863169
334,0.194427471134
335,0.378685274976
336,0.108127930255
337,0.0532866928116
338,0.798728700349
339,0.0761296927518
340,0.414447073921
341,0.033219043079
342,0.599803899153
343,0.230914071988
344,0.623258076086
345,0.00458687652619
346,0.717511822789
347,0.661242432143
348,0.504808792683
349,0.246821732848
350,0.0493901915487
351,0.306145044888
352,0.129895889987
353,0.00582715127129
354,0.159685789759
355,0.126753617412
356,0.106217463998
357,0.0202387343636
358,0.0308840945646
359,0.0354777668257
360,0.294521387087
361,0.28308972121
362,0.0766565638149
363,0.115070143299
364,0.877112258849
365,0.597097725769
366,0.430996467772
367,0.647730229583
368,0.409924153055
369,0.764342102864
370,0.958836162818
371,0.567831047941
372,0.289058784989
373,0.368770737684
374,0.374801794487
375,0.204927553346
376,0.700139897394
377,0.106384031714
378,0.592569380227
379,0.702651702403
380,0.0204353484841
381,0.00881148244277
382,0.00891165882313
383,0.155927235583
384,0.0183091609248
385,0.0914936931133
386,0.225049115553
387,0.132069772093
388,0.0310595474157
389,0.753058309372
390,0.321367051704
391,0.00608106210626
392,0.185019371448
393,0.174684429879
394,0.37931858099
